time,node_rank,rank,local_rank,epoch,batch_index,num_batches,update_step,should_step,lr,loss_total,loss_gep,loss_zero_prob,loss_gepc,loss_gepc_zero_prob,step_ms,data_load_s,to_device_s,forward_s,loss_s,backward_s,optimizer_s,grad_sync_s,samples_per_s,tokens_per_s,mfu,grad_norm_raw,grad_norm_ema,grad_clip_threshold,grad_skip_threshold,grad_skip_max,grad_hard_raw_norm_limit,grad_ema_contribution_cap,grad_action,skipped,skipped_count_cum,clipped_count_cum,consecutive_skips,consecutive_clips,cluster_loss_total_mean,cluster_loss_total_min,cluster_loss_total_max,cluster_step_ms_mean,cluster_step_ms_max,cluster_data_load_s_max,cluster_grad_sync_s_max,cluster_samples_per_s_sum,cluster_tokens_per_s_sum
2026-05-19T20:54:02,0,0,0,1,1,37408,1,True,2.6737967914438504e-09,617.5177001953125,202.12411499023438,0.6898509860038757,412.6269836425781,2.0767719745635986,756953.1307220459,686.2088260650635,0.0014500617980957031,0.42517852783203125,0.737473726272583,0.226715087890625,19.587525844573975,0,0.6763959077778186,432.8933809778039,,658644.0,658644.0,0.5,100000000000.0,,100000000000.0,,clip,False,0,1,0,1,600.4341227213541,545.9640502929688,647.0918579101562,756988.5,757671.75,716.3998413085938,0.0,16.232744216918945,10388.9560546875
2026-05-19T20:54:06,0,0,0,1,2,37408,2,True,5.347593582887701e-09,,,,,,4219.293594360352,686.2088260650635,0.00031447410583496094,0.05845975875854492,0.8191685676574707,0.09454941749572754,2.518131971359253,0,121.34732711759055,77662.28935525795,,669857.375,658868.2675,0.5,100000000000.0,,100000000000.0,,clip,False,0,2,0,2,,,,,,,,,
2026-05-19T20:54:10,0,0,0,1,3,37408,3,True,8.021390374331551e-09,,,,,,4390.658855438232,686.2088260650635,0.00039005279541015625,0.05166292190551758,0.8213763236999512,0.09303450584411621,3.4225564002990723,0,116.61120047298623,74631.16830271119,,670512.875,659101.15965,0.5,100000000000.0,,100000000000.0,,clip,False,0,3,0,3,,,,,,,,,
2026-05-19T20:54:14,0,0,0,1,4,37408,4,True,1.0695187165775401e-08,,,,,,3647.334337234497,686.2088260650635,0.0003249645233154297,0.04780864715576172,0.8259048461914062,0.09060096740722656,2.680966377258301,0,140.37649216117973,89840.95498315502,,670109.1875,659321.320207,0.5,100000000000.0,,100000000000.0,,clip,False,0,4,0,4,,,,,,,,,
2026-05-19T20:54:17,0,0,0,1,5,37408,5,True,1.3368983957219251e-08,,,,,,3488.6953830718994,686.2088260650635,0.0003459453582763672,0.046773672103881836,0.8263826370239258,0.09156084060668945,2.5220141410827637,0,146.7597321578615,93926.22858103136,,670540.5625,659545.7050528601,0.5,100000000000.0,,100000000000.0,,clip,False,0,5,0,5,,,,,,,,,
2026-05-19T20:54:21,0,0,0,1,6,37408,6,True,1.6042780748663103e-08,,,,,,3484.7800731658936,686.2088260650635,0.0003237724304199219,0.04810190200805664,0.8248050212860107,0.09245944023132324,2.5174973011016846,0,146.92462343394092,94031.7589977222,,669319.6875,659741.1847018029,0.5,100000000000.0,,100000000000.0,,clip,False,0,6,0,6,,,,,,,,,
2026-05-19T20:54:24,0,0,0,1,7,37408,7,True,1.8716577540106955e-08,,,,,,3485.69393157959,686.2088260650635,0.00029969215393066406,0.047006845474243164,0.8259351253509521,0.09102272987365723,2.5198965072631836,0,146.88610361380185,94007.10631283319,,669743.5625,659941.2322577668,0.5,100000000000.0,,100000000000.0,,clip,False,0,7,0,7,,,,,,,,,
2026-05-19T20:54:28,0,0,0,1,8,37408,8,True,2.1390374331550803e-08,,,,,,3486.266613006592,686.2088260650635,0.0003070831298828125,0.04593205451965332,0.8268189430236816,0.09796714782714844,2.5134150981903076,0,146.86197495332866,93991.66397013034,,668063.375,660103.6751126114,0.5,100000000000.0,,100000000000.0,,clip,False,0,8,0,8,,,,,,,,,
2026-05-19T20:54:31,0,0,0,1,9,37408,9,True,2.4064171122994654e-08,,,,,,3485.246181488037,686.2088260650635,0.0002918243408203125,0.04656028747558594,0.8259553909301758,0.09133172035217285,2.5194942951202393,0,146.9049740932217,94019.1834196619,,671522.6875,660332.0553603591,0.5,100000000000.0,,100000000000.0,,clip,False,0,9,0,9,,,,,,,,,
2026-05-19T20:54:35,0,0,0,1,10,37408,10,True,2.6737967914438503e-08,,,,,,3485.727548599243,686.2088260650635,0.0003025531768798828,0.046413421630859375,0.8265879154205322,0.09159135818481445,2.5192246437072754,0,146.8846870162729,94006.19969041465,,670519.375,660535.8017531519,0.5,100000000000.0,,100000000000.0,,clip,False,0,10,0,10,,,,,,,,,
2026-05-19T20:54:38,0,0,0,1,11,37408,11,True,2.9411764705882354e-08,587.6265258789062,185.97183227539062,0.6897588968276978,398.8808288574219,2.084134340286255,3488.908529281616,686.2088260650635,0.0003032684326171875,0.04581952095031738,0.8273453712463379,0.10406637191772461,2.5096969604492188,0,146.75076623617397,93920.49039115134,,668128.4375,660687.6544680889,0.5,100000000000.0,,100000000000.0,,clip,False,0,11,0,11,593.1961263020834,538.88330078125,633.7828369140625,3488.6529947916665,3489.4033203125,716.3998413085938,0.0,3522.27685546875,2254257.25
2026-05-19T20:54:42,0,0,0,1,12,37408,12,True,3.2085561497326206e-08,,,,,,3495.3677654266357,686.2088260650635,0.0002961158752441406,0.04721951484680176,0.8259866237640381,0.09093952178955078,2.517526865005493,0,146.4795793633768,93746.93079256116,,664739.9375,660768.700128727,0.5,100000000000.0,,100000000000.0,,clip,False,0,12,0,12,,,,,,,,,
2026-05-19T20:54:45,0,0,0,1,13,37408,13,True,3.475935828877006e-08,,,,,,3486.795425415039,686.2088260650635,0.00029015541076660156,0.0474703311920166,0.8250455856323242,0.09218907356262207,2.520317316055298,0,146.83970165501057,93977.40905920677,,666675.6875,660886.8398761525,0.5,100000000000.0,,100000000000.0,,clip,False,0,13,0,13,,,,,,,,,
2026-05-19T20:54:49,0,0,0,1,14,37408,14,True,3.743315508021391e-08,,,,,,3495.225191116333,686.2088260650635,0.00031638145446777344,0.04619097709655762,0.8271372318267822,0.09094762802124023,2.5289530754089355,0,146.48555443618594,93750.754839159,,672167.625,661112.4555786294,0.5,100000000000.0,,100000000000.0,,clip,False,0,14,0,14,,,,,,,,,
