gene_symbol
20ox-3
2A11
2-CP1
2-CP2
3OH-2
5PT1
5PT3
AADC1A
AADC2
AAP2
AAT2
ABC1K1
ABCB21
ABCE1
ABCF2
ABCF4
ABCG22
ABCG8
ABCG9
ABCI3
ABCI4
ABCI5
ABCI6
ABCI9
ABF4
ABI3
abz1
ACAT1
ACI112
ACI13
ACI14
ACI29
ACI36
ACI39
ACO1
ACO2
ACO4
ACO5
ACO6
ACS1B
ACS2
ACS3
ACS4
ACS5
ACS7
ACS8
ACT
actin
AdBiL
ADC
ADCS
ADH
ADH10A9
ADH11A4a
ADH12A1
ADH2
ADH2B7d
ADH3
ADH3F1a
AFRR
AG1
AGAL
AGL11
AGL6
AGO2A
AGO4A
AGO4D
AGO5
AGO6
AGO7
AgpL1
agpL3
AGP-S2
ail
AKR4B
ALC
ALD3H1
ALDH11A3a
ALDH2B7a
ALMT4
ALMT5
alpha-DOX2
alpha-kGDH
amadh2
AMT1-1
AMT1-3
AN34
AN35
ANS
ANT
AnthOMT
AO
AOC
aos
AOS2
AOS3
AP2a
AP2b
AP2c
app2
APS1
APS-AA2
APX1
APX2
Aqp2
ArcA2
AREB1
ARF1
ARF10A
ARF10B
ARF17
ARF19A
ARF24
ARF2A
ARF3
ARF4
Arf/Xyl1
Arf/Xyl2
ARGOS
AROGP2
ARPI
ARS1
AS1
ASAT1
ASAT3
Asc1
ASCL
ASH1
ASR1
ASS
AT1
AT2
AT3
ATG8a
Aucsia-2
BAM1
BBR/BPC1
BBR/BPC3
BBR/BPC4
BBR/BPC5
bc2.1
BCCP1
bHLH1
BiP/grp78
BL2
bmy3
BR1
Bs4
bZIP1
BZR1
C5-SD
ca1
ca2
CAB-10A
CAB12
CAB13
CAB5
CAB6A
CAB-8
CAC
CaM1
CaM2
CaM5
CaM6
CAT2
CB5-A
CB5-B
CBL1
CBL10
CBL2
CCD1A
CCD1B
CCH
ccmB
CCR1
CCR2
CCS
ccs52A
ccs52B
CD1
CD2
CD4A
cdc20-1
cdc2A-2
cdc5
cdkB2
CDPK1
CDPK2
Cel1
Cel2
Cel3
cel5
Cel8
cellulase
CER6
CEVI-1
cevi16
cevi57
cgi1
CGS
CHI
CHI17
CHI3
CHI9
CHLN
chMDH
ChrC
CHRD
CHRDi
CHS1
CHS2
CIF1
CIP1
CIP2b
CIP4
CIP5
CIP6
CIPK11
CIPK14
CIPK6
CITRX
CKX1
CKX3
CKX5
CKX7
CLB1
clpP2
CLV2
CLV3
CMB1
CMT2
CNGC15
CNGC6
CO1
CO3
Coi1
COP1
copz2
COQ6
COR413IM1
CPA
cpk1
Cpn21
CPS
CPT1
CPT3
CRTISO
CrtR-b1
CrtR-b2
Cry1b
CRY2
CS2
CSN4
csn5
CTOMT1
cuAO
CURL3
CYC1
CycA1
CycA2
CycA3
CycB2
cycD3
cycd3c2
cycd3c3
CYN
CyP
CYP1
CYP51
CYP707A1
CYP707A2
CYP710A11
CYP716A44
CYP716A46
CYP716E26
CYP734A8
CYP77A19
CYP77A20
CYP85A1
CYP85A3
CYP90A5
CYP97A29
CYP97C11
CysEP
CZFP1
DAD1
DDTFR10
DDTFR8
DEAD31
DEF
DEFL1
dem
Dem2
DES
Det1
det2
DFR
DHAR1
dhbK
DIG3
DMR6-1
DNAJ
DNApolalpha
DNMT2
Dof22
DOT
DP1
DREB3
DRM5
DRM6
DWF5-2
DXR
dxs2
EBF1
EBF2
EFE
eIF4E1
eIF4E2
eIF-5A1
eIF-5A2
eIF-5A3
eIF-5A4
EIF6
eIF(iso)4E
EIL3
EIL4
Eix1
Eix2
ELIP
Endo-LE
EOL1
EOT1
ER24
ER43
ER49
ER5
ER66
ER69
ERF2
ERF3
ERF36
ERF4
ERF52
ERF7
ERF-A2
ERF-B13
ERF-C3
ERF-D2
ERF-H1
ERN1
er-sHSP
ETR2
ETR4
ETR5
ETR6
EXLA1
EXP1
exp11
exp18
EXP2
EXP5
EXPA10
EXPA4
EXPA6
EXPA8
ext1
EZ2
F3H
Fad7
FBA1
FBA2
FBA3
FBA4
FBA7
fdh
fen
FERN
FEY
FIE
fin1
FKBP12
FKBP15-2
FKBP16-3
FKBP16-4
FKBP19
FKBP20-1
FKBP20-2
FKBP65
FLACCA
Fni3
FPPS1
Frk1
FRK2
FRK3
FRK4
FRO1
FSB1
fsm1
FTA
ftsH6
FUL1
FUL2
FUT13
fw2.2
FYFL
FZY
FZY2
G
GA20ox1
GA2ox1
GA2ox2
GA2ox3
GA2ox4
GA2ox5
GABA-TP1
GABA-TP2
GABA-TP3
gad2
GAD2
GAD3
GAI
GAL83
GAME1
GAME2
GAME3
GAME4
GAME6
GAPC2
GAST1
GATB
GBF12
GCH1
GCP1
GGH1
GGH3
GGP1
GGP2
GGPS
GGPS2
GH3-10
GID1ac
GID1b-1
Glb1
gldh
GLK1
GLK2
GLO2
GLR1.2
GLR3.5
GluB
gluII
GLX1
gMDH
GME1
GME2
GMP
GolS-1
GolS2
GPAT6
GPS
GR
GRAS1
GRAS10
GRAS2
GRAS4
GRAS6
GRX1
GRX22
GS2
GSA-AT
GSH1
gst
GST-T4
gts1
GWD
H2B-2
h52
HAM
hb-1
HDA3
HDR
HDS
HMG2
HMGR
HMGS2
HO1
HPL
HPPK-DHPS
hqt
HrBP1
Hsc70.1
Hsc70.2
HSC80
HSD1
HSD2
HsfA1a
HSFA3
HSP16-9
HSP17.4
HSP21
HSP70
HSP90
Hsp90-1
HSTF24
ht1
ht2
HTA6
HWS
hxk1
Hxk2
HXK4
HY5
HYD1
HYD2
HZ24
I2C7
IAA13
IAA17
IAA19
IAA2
IAA27
IAA29
IAA4
IAA7
IAA8
IAA9
ICDH1
ICE1a
ide
IDI1
IDI2
IMP2
IMP3
infA
INT4
IPMS2
IPS
IPT2
IPT3
ispE
ISPF
J
J2
JA2
JA2L
JAZ2
JERF1
JJH3
kdsA
KN1
KN4
krp1
krp2
krp3
krp4
L23
LAPA2
LAT52
LAT56
LAT59
LAX1
LAX2
LAX3
LAX4
