time,node_rank,rank,local_rank,epoch,batch_index,num_batches,update_step,should_step,lr,loss_total,loss_gep,loss_zero_prob,loss_gepc,loss_gepc_zero_prob,step_ms,data_load_s,to_device_s,forward_s,loss_s,backward_s,optimizer_s,grad_sync_s,samples_per_s,tokens_per_s,mfu,grad_norm_raw,grad_norm_ema,grad_clip_threshold,grad_skip_threshold,grad_skip_max,grad_hard_raw_norm_limit,grad_ema_contribution_cap,grad_action,skipped,skipped_count_cum,clipped_count_cum,consecutive_skips,consecutive_clips,cluster_loss_total_mean,cluster_loss_total_min,cluster_loss_total_max,cluster_step_ms_mean,cluster_step_ms_max,cluster_data_load_s_max,cluster_grad_sync_s_max,cluster_samples_per_s_sum,cluster_tokens_per_s_sum
2026-05-18T19:11:16,0,3,3,1,1,74816,1,True,1.3368983957219252e-10,656.5562744140625,198.26324462890625,0.7195866107940674,455.5622863769531,2.011185884475708,809453.6442756653,658.6435348987579,0.002469778060913086,0.5137686729431152,1.200354814529419,0.2856926918029785,14.74234676361084,0,0.31626270609860563,202.4081319031076,,91204840.0,91204840.0,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,1,0,1,640.3086751302084,584.711669921875,701.3232421875,809494.5,810489.4375,768.8004150390625,0.0,7.5899224281311035,4857.55029296875
2026-05-18T19:11:22,0,3,3,1,2,74816,2,True,2.6737967914438504e-10,,,,,,7186.299562454224,658.6435348987579,0.0005331039428710938,0.09735560417175293,1.393047571182251,0.2757303714752197,4.3695762157440186,0,35.62334102206176,22798.938254119523,,96543344.0,91311610.08,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,2,0,2,,,,,,,,,
2026-05-18T19:11:28,0,3,3,1,3,74816,3,True,4.0106951871657755e-10,,,,,,6287.873029708862,658.6435348987579,0.0004086494445800781,0.09184384346008301,1.410200595855713,0.17929363250732422,4.604076147079468,0,40.71329029553467,26056.50578914219,,98736800.0,91460113.8784,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,3,0,3,,,,,,,,,
2026-05-18T19:11:34,0,3,3,1,4,74816,4,True,5.347593582887701e-10,,,,,,6182.250261306763,658.6435348987579,0.00030303001403808594,0.09371137619018555,1.410249948501587,0.18360328674316406,4.492568254470825,0,41.40887042413072,26501.677071443657,,97532808.0,91581567.760832,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,4,0,4,,,,,,,,,
2026-05-18T19:11:40,0,3,3,1,5,74816,5,True,6.684491978609625e-10,,,,,,6118.674755096436,658.6435348987579,0.0006437301635742188,0.8569450378417969,0.6368446350097656,0.17995572090148926,4.439859867095947,0,41.83912534111567,26777.04021831403,,96964872.0,91689233.84561536,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,5,0,5,,,,,,,,,
2026-05-18T19:11:47,0,3,3,1,6,74816,6,True,8.021390374331551e-10,,,,,,6453.246593475342,658.6435348987579,0.00029754638671875,0.09097433090209961,1.4130079746246338,0.17316818237304688,4.7738356590271,0,39.66995469518132,25388.771004916045,,98021048.0,91815870.12870306,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,6,0,6,,,,,,,,,
2026-05-18T19:11:53,0,3,3,1,7,74816,7,True,9.358288770053475e-10,,,,,,6152.37832069397,658.6435348987579,0.0002968311309814453,0.09111881256103516,1.412456750869751,0.17429256439208984,4.472299575805664,0,41.609924919429204,26630.35194843469,,97543176.0,91930416.24612899,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,7,0,7,,,,,,,,,
2026-05-18T19:11:59,0,3,3,1,8,74816,8,True,1.0695187165775401e-09,,,,,,6216.736555099487,658.6435348987579,0.0003147125244140625,0.08861732482910156,1.4147393703460693,0.17487764358520508,4.536162853240967,0,41.179161724330655,26354.663503571617,,98012136.0,92052050.64120641,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,8,0,8,,,,,,,,,
2026-05-18T19:12:05,0,3,3,1,9,74816,9,True,1.2032085561497326e-09,,,,,,6150.697946548462,658.6435348987579,0.0003178119659423828,0.09566211700439453,1.4058594703674316,0.17429637908935547,4.472565650939941,0,41.62129277436839,26637.62737559577,,97280448.0,92156618.58838229,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,9,0,9,,,,,,,,,
2026-05-18T19:12:12,0,3,3,1,10,74816,10,True,1.336898395721925e-09,,,,,,6148.980379104614,658.6435348987579,0.00030803680419921875,0.08971643447875977,1.412297010421753,0.17479753494262695,4.469815254211426,0,41.63291866565974,26645.067946022235,,99618960.0,92305865.41661465,0.5,100000000000.0,100000000000.0,100000000000.0,1000000000.0,clip,False,0,10,0,10,,,,,,,,,
