time,node_rank,rank,local_rank,epoch,batch_index,num_batches,update_step,should_step,lr,loss_total,loss_gep,loss_zero_prob,loss_gepc,loss_gepc_zero_prob,step_ms,data_load_s,to_device_s,forward_s,loss_s,backward_s,optimizer_s,grad_sync_s,samples_per_s,tokens_per_s,mfu,cluster_loss_total_mean,cluster_loss_total_min,cluster_loss_total_max,cluster_step_ms_mean,cluster_step_ms_max,cluster_data_load_s_max,cluster_grad_sync_s_max,cluster_samples_per_s_sum,cluster_tokens_per_s_sum
2026-05-08T00:07:03,0,3,3,1,1,37408,1,True,5.347593582887701e-09,505.3865661621094,221.40476989746094,0.6928490996360779,281.51470947265625,1.7742397785186768,731013.6775970459,689.9056506156921,0.0025262832641601562,0.48648548126220703,1.3563170433044434,0.22643589973449707,0.949237585067749,0,0.7003972917210285,448.2542667014582,,448.8909098307292,411.068359375,505.3865661621094,725544.0,735360.625,695.9603881835938,0.0,16.93704605102539,10839.7099609375
2026-05-08T00:07:05,0,3,3,1,2,37408,2,True,1.0695187165775401e-08,,,,,,8821.31552696228,689.9056506156921,0.00030517578125,0.05986332893371582,1.5830016136169434,0.1069648265838623,0.027567625045776367,0,58.041229614231135,37146.386953107925,,,,,,,,,,
2026-05-08T00:07:10,0,3,3,1,3,37408,3,True,1.6042780748663103e-08,,,,,,5730.795621871948,689.9056506156921,0.00029087066650390625,0.07977652549743652,5.522260904312134,0.09967207908630371,0.027361392974853516,0,89.34187044568807,57178.79708524037,,,,,,,,,,
2026-05-08T00:07:16,0,3,3,1,4,37408,4,True,2.1390374331550803e-08,,,,,,5739.280223846436,689.9056506156921,0.0003209114074707031,0.04508686065673828,5.56545877456665,0.09960818290710449,0.027373313903808594,0,89.20979287135422,57094.2674376667,,,,,,,,,,
2026-05-08T00:07:22,0,3,3,1,5,37408,5,True,2.6737967914438503e-08,,,,,,5746.321201324463,689.9056506156921,0.00030303001403808594,0.046224117279052734,5.565332889556885,0.09998893737792969,0.033058881759643555,0,89.10048395519375,57024.309731324,,,,,,,,,,
2026-05-08T00:07:27,0,3,3,1,6,37408,6,True,3.2085561497326206e-08,,,,,,5734.273672103882,689.9056506156921,0.00030732154846191406,0.044930458068847656,5.560438632965088,0.10049295425415039,0.02663421630859375,0,89.28768127876067,57144.11601840683,,,,,,,,,,
2026-05-08T00:07:33,0,3,3,1,7,37408,7,True,3.743315508021391e-08,,,,,,5749.399423599243,689.9056506156921,0.0004317760467529297,0.04607653617858887,5.5637383460998535,0.10471606254577637,0.03246164321899414,0,89.05277965180534,56993.778977155416,,,,,,,,,,
2026-05-08T00:07:39,0,3,3,1,8,37408,8,True,4.2780748663101606e-08,,,,,,5726.555824279785,689.9056506156921,0.00035762786865234375,0.046597957611083984,5.550935983657837,0.09807753562927246,0.028664350509643555,0,89.40801691466842,57221.13082538779,,,,,,,,,,
2026-05-08T00:07:45,0,3,3,1,9,37408,9,True,4.812834224598931e-08,,,,,,5747.102975845337,689.9056506156921,0.0003199577331542969,0.045433998107910156,5.567927122116089,0.10410881042480469,0.027672290802001953,0,89.08836367677758,57016.55275313764,,,,,,,,,,
2026-05-08T00:07:50,0,3,3,1,10,37408,10,True,5.3475935828877005e-08,,,,,,5736.550092697144,689.9056506156921,0.00031065940856933594,0.044710636138916016,5.562355041503906,0.09858131408691406,0.02879619598388672,0,89.25224947513252,57121.439664084806,,,,,,,,,,
