time,node_rank,rank,local_rank,epoch,batch_index,num_batches,update_step,should_step,lr,loss_total,loss_gep,loss_zero_prob,loss_gepc,loss_gepc_zero_prob,step_ms,data_load_s,to_device_s,forward_s,loss_s,backward_s,optimizer_s,grad_sync_s,samples_per_s,tokens_per_s,mfu,cluster_loss_total_mean,cluster_loss_total_min,cluster_loss_total_max,cluster_step_ms_mean,cluster_step_ms_max,cluster_data_load_s_max,cluster_grad_sync_s_max,cluster_samples_per_s_sum,cluster_tokens_per_s_sum
2026-05-08T00:07:03,0,0,0,1,1,37408,1,True,5.347593582887701e-09,491.6517333984375,213.36203002929688,0.6931959390640259,275.8121643066406,1.784371256828308,730227.1318435669,674.2212679386139,0.0014052391052246094,0.4662315845489502,1.367518663406372,0.21790456771850586,0.9530704021453857,0,0.7011517070139258,448.73709248891254,,448.8909098307292,411.068359375,505.3865661621094,725544.0,735360.625,695.9603881835938,0.0,16.93704605102539,10839.7099609375
2026-05-08T00:07:05,0,0,0,1,2,37408,2,True,1.0695187165775401e-08,,,,,,9603.818655014038,674.2212679386139,0.00028896331787109375,0.05144238471984863,1.5916039943695068,0.10383486747741699,0.026584386825561523,0,53.31212701863034,34119.761291923416,,,,,,,,,,
2026-05-08T00:07:10,0,0,0,1,3,37408,3,True,1.6042780748663103e-08,,,,,,5731.570720672607,674.2212679386139,0.0003020763397216797,0.08172726631164551,5.52475905418396,0.09712648391723633,0.026157617568969727,0,89.32978845629879,57171.06461203122,,,,,,,,,,
2026-05-08T00:07:16,0,0,0,1,4,37408,4,True,2.1390374331550803e-08,,,,,,5739.46738243103,674.2212679386139,0.00031876564025878906,0.05116772651672363,5.5633385181427,0.0974893569946289,0.025625944137573242,0,89.20688382466865,57092.405647787935,,,,,,,,,,
2026-05-08T00:07:22,0,0,0,1,5,37408,5,True,2.6737967914438503e-08,,,,,,5738.590955734253,674.2212679386139,0.00029730796813964844,0.04422807693481445,5.569282054901123,0.09770750999450684,0.025551319122314453,0,89.22050795211096,57101.12508935102,,,,,,,,,,
2026-05-08T00:07:27,0,0,0,1,6,37408,6,True,3.2085561497326206e-08,,,,,,5741.01185798645,674.2212679386139,0.0003039836883544922,0.04579877853393555,5.569812536239624,0.09804630279541016,0.025529146194458008,0,89.18288494522884,57077.04636494645,,,,,,,,,,
2026-05-08T00:07:33,0,0,0,1,7,37408,7,True,3.743315508021391e-08,,,,,,5738.317966461182,674.2212679386139,0.0003178119659423828,0.04576563835144043,5.5675578117370605,0.09783148765563965,0.025281667709350586,0,89.22475244357193,57103.84156388603,,,,,,,,,,
2026-05-08T00:07:39,0,0,0,1,8,37408,8,True,4.2780748663101606e-08,,,,,,5739.671945571899,674.2212679386139,0.0002963542938232422,0.04528212547302246,5.568532943725586,0.09859609603881836,0.025397539138793945,0,89.20370447216987,57090.37086218872,,,,,,,,,,
2026-05-08T00:07:45,0,0,0,1,9,37408,9,True,4.812834224598931e-08,,,,,,5753.474950790405,674.2212679386139,0.0003056526184082031,0.045754432678222656,5.569822311401367,0.1053614616394043,0.030240535736083984,0,88.98969829175358,56953.406906722295,,,,,,,,,,
2026-05-08T00:07:50,0,0,0,1,10,37408,10,True,5.3475935828877005e-08,,,,,,5734.029531478882,674.2212679386139,0.0003540515899658203,0.045714378356933594,5.556639194488525,0.1009361743927002,0.02825188636779785,0,89.29148292473974,57146.54907183343,,,,,,,,,,
2026-05-08T00:08:00,0,0,0,1,11,37408,11,True,5.882352941176471e-08,468.4115905761719,201.9362030029297,0.6928873658180237,264.0608825683594,1.7216194868087769,5735.494375228882,674.2212679386139,0.00028443336486816406,0.04381895065307617,5.566865682601929,0.09491586685180664,0.027959346771240234,0,89.26867790356224,57131.953858279834,,442.8279622395833,404.0218505859375,478.6299743652344,5739.166666666667,5749.01220703125,695.9603881835938,0.0,2141.08154296875,1370292.125
2026-05-08T00:08:02,0,0,0,1,12,37408,12,True,6.417112299465241e-08,,,,,,5751.4824867248535,674.2212679386139,0.00030159950256347656,0.049196481704711914,1.590095043182373,0.09437870979309082,0.027362585067749023,0,89.02052665234756,56973.137057502434,,,,,,,,,,
2026-05-08T00:08:08,0,0,0,1,13,37408,13,True,6.951871657754012e-08,,,,,,5782.234907150269,674.2212679386139,0.0003018379211425781,0.04374122619628906,5.610541343688965,0.09863424301147461,0.02727532386779785,0,88.54707707686947,56670.12932919646,,,,,,,,,,
2026-05-08T00:08:13,0,0,0,1,14,37408,14,True,7.486631016042782e-08,,,,,,5735.184192657471,674.2212679386139,0.0002994537353515625,0.043965816497802734,5.567441940307617,0.09427881240844727,0.02750706672668457,0,89.27350592427237,57135.04379153432,,,,,,,,,,
2026-05-08T00:08:19,0,0,0,1,15,37408,15,True,8.021390374331552e-08,,,,,,5857.810735702515,674.2212679386139,0.0003204345703125,0.04384899139404297,5.691380977630615,0.09375119209289551,0.02686595916748047,0,87.40466756282062,55938.9872402052,,,,,,,,,,
2026-05-08T00:08:25,0,0,0,1,16,37408,16,True,8.556149732620321e-08,,,,,,5739.816188812256,674.2212679386139,0.0002853870391845703,0.04317045211791992,5.573362588882446,0.09404563903808594,0.02737140655517578,0,89.20146275728536,57088.93616466263,,,,,,,,,,
2026-05-08T00:08:31,0,0,0,1,17,37408,17,True,9.090909090909091e-08,,,,,,5780.7347774505615,674.2212679386139,0.00036215782165527344,0.04311394691467285,5.58040452003479,0.10299849510192871,0.04950761795043945,0,88.5700554879641,56684.83551229702,,,,,,,,,,
2026-05-08T00:08:37,0,0,0,1,18,37408,18,True,9.625668449197862e-08,,,,,,5710.812091827393,674.2212679386139,0.0004451274871826172,0.0555267333984375,5.518278360366821,0.0997462272644043,0.0332188606262207,0,89.65449952953469,57378.8796989022,,,,,,,,,,
2026-05-08T00:08:42,0,0,0,1,19,37408,19,True,1.0160427807486632e-07,,,,,,5734.0638637542725,674.2212679386139,0.0003142356872558594,0.04376697540283203,5.5614893436431885,0.0931398868560791,0.0336458683013916,0,89.29094829871278,57146.20691117618,,,,,,,,,,
2026-05-08T00:08:48,0,0,0,1,20,37408,20,True,1.0695187165775401e-07,,,,,,5740.505933761597,674.2212679386139,0.0003008842468261719,0.043228864669799805,5.568994045257568,0.09353351593017578,0.03287363052368164,0,89.19074484163113,57082.07669864392,,,,,,,,,,
2026-05-08T00:08:58,0,0,0,1,21,37408,21,True,1.1229946524064171e-07,413.79852294921875,178.64981079101562,0.6928557753562927,232.7276153564453,1.7282466888427734,5740.248918533325,674.2212679386139,0.00029158592224121094,0.04267430305480957,5.5684263706207275,0.09867644309997559,0.02859187126159668,0,89.19473828860015,57084.632504704095,,444.3543294270833,388.3838806152344,487.0422668457031,5741.162760416667,5777.84716796875,695.9603881835938,0.0,2140.338623046875,1369816.75
2026-05-08T00:08:59,0,0,0,1,22,37408,22,True,1.1764705882352942e-07,,,,,,5748.356103897095,674.2212679386139,0.00031495094299316406,0.052812814712524414,1.5853893756866455,0.09996318817138672,0.028380155563354492,0,89.0689426239425,57004.123279323205,,,,,,,,,,
2026-05-08T00:09:05,0,0,0,1,23,37408,23,True,1.229946524064171e-07,,,,,,5733.1531047821045,674.2212679386139,0.0002923011779785156,0.04264116287231445,5.567737579345703,0.09346580505371094,0.027417659759521484,0,89.3051329072188,57155.28506062004,,,,,,,,,,
2026-05-08T00:09:11,0,0,0,1,24,37408,24,True,1.2834224598930482e-07,,,,,,5740.959644317627,674.2212679386139,0.0002951622009277344,0.04707598686218262,5.569654941558838,0.09506416320800781,0.027268409729003906,0,89.18369605798833,57077.56547711253,,,,,,,,,,
2026-05-08T00:09:17,0,0,0,1,25,37408,25,True,1.3368983957219251e-07,,,,,,5752.902269363403,674.2212679386139,0.0003018379211425781,0.04461193084716797,5.574615478515625,0.10324335098266602,0.028515338897705078,0,88.99855690693946,56959.076420441255,,,,,,,,,,
2026-05-08T00:09:22,0,0,0,1,26,37408,26,True,1.3903743315508023e-07,,,,,,5749.264240264893,674.2212679386139,0.0003771781921386719,0.04482698440551758,5.569096565246582,0.10084772109985352,0.03125429153442383,0,89.0548735635101,56995.119080646466,,,,,,,,,,
2026-05-08T00:09:28,0,0,0,1,27,37408,27,True,1.4438502673796792e-07,,,,,,5731.321334838867,674.2212679386139,0.0003402233123779297,0.045792579650878906,5.559493541717529,0.09571313858032227,0.02771282196044922,0,89.33367544543628,57173.55228507922,,,,,,,,,,
2026-05-08T00:09:34,0,0,0,1,28,37408,28,True,1.4973262032085564e-07,,,,,,5740.619421005249,674.2212679386139,0.0003104209899902344,0.04256701469421387,5.571446180343628,0.09784293174743652,0.02683544158935547,0,89.1889816152179,57080.94823373946,,,,,,,,,,
2026-05-08T00:09:40,0,0,0,1,29,37408,29,True,1.5508021390374333e-07,,,,,,5740.903377532959,674.2212679386139,0.0002923011779785156,0.042322635650634766,5.572150230407715,0.09359908103942871,0.030800580978393555,0,89.18457015035533,57078.12489622741,,,,,,,,,,
2026-05-08T00:09:45,0,0,0,1,30,37408,30,True,1.6042780748663104e-07,,,,,,5739.555597305298,674.2212679386139,0.00032258033752441406,0.04264497756958008,5.5689592361450195,0.0993647575378418,0.026149749755859375,0,89.20551274742984,57091.5281583551,,,,,,,,,,
2026-05-08T00:09:55,0,0,0,1,31,37408,31,True,1.657754010695187e-07,470.7356872558594,208.29234313964844,0.6927763819694519,260.0157165527344,1.7348225116729736,5740.253686904907,674.2212679386139,0.0002951622009277344,0.04206252098083496,5.571810722351074,0.09376788139343262,0.030786991119384766,0,89.19466419541916,57084.58508506827,,432.7742513020833,393.50604248046875,480.6649475097656,5740.024739583333,5755.1796875,695.9603881835938,0.0,2140.760009765625,1370086.25
