time,node_rank,rank,local_rank,epoch,batch_index,num_batches,update_step,should_step,lr,loss_total,loss_gep,loss_zero_prob,loss_gepc,loss_gepc_zero_prob,step_ms,data_load_s,to_device_s,forward_s,loss_s,backward_s,optimizer_s,grad_sync_s,samples_per_s,tokens_per_s,mfu,cluster_loss_total_mean,cluster_loss_total_min,cluster_loss_total_max,cluster_step_ms_mean,cluster_step_ms_max,cluster_data_load_s_max,cluster_grad_sync_s_max,cluster_samples_per_s_sum,cluster_tokens_per_s_sum
2026-05-08T00:07:03,0,1,1,1,1,37408,1,True,5.347593582887701e-09,440.7947998046875,188.8457489013672,0.6929299235343933,249.52529907226562,1.7308311462402344,726205.988407135,660.3664512634277,0.00520634651184082,0.4448990821838379,1.3719563484191895,0.21075153350830078,0.930774450302124,0,0.7050341200339372,451.22183682171976,,448.8909098307292,411.068359375,505.3865661621094,725544.0,735360.625,695.9603881835938,0.0,16.93704605102539,10839.7099609375
2026-05-08T00:07:05,0,1,1,1,2,37408,2,True,1.0695187165775401e-08,,,,,,13631.177186965942,660.3664512634277,0.0002830028533935547,0.05725574493408203,1.5851304531097412,0.11096620559692383,0.02675914764404297,0,37.56095258519357,24039.009654523885,,,,,,,,,,
2026-05-08T00:07:10,0,1,1,1,3,37408,3,True,1.6042780748663103e-08,,,,,,5737.4396324157715,660.3664512634277,0.0003032684326171875,0.07849812507629395,5.522628545761108,0.10120964050292969,0.03297162055969238,0,89.23841169626745,57112.58348561117,,,,,,,,,,
2026-05-08T00:07:16,0,1,1,1,4,37408,4,True,2.1390374331550803e-08,,,,,,5731.371164321899,660.3664512634277,0.00033473968505859375,0.04735088348388672,5.554986476898193,0.10099077224731445,0.025998592376708984,0,89.33289876377718,57173.05520881739,,,,,,,,,,
2026-05-08T00:07:22,0,1,1,1,5,37408,5,True,2.6737967914438503e-08,,,,,,5740.650177001953,660.3664512634277,0.00029850006103515625,0.04722142219543457,5.563518285751343,0.10269474983215332,0.025420665740966797,0,89.18850377804964,57080.64241795176,,,,,,,,,,
2026-05-08T00:07:27,0,1,1,1,6,37408,6,True,3.2085561497326206e-08,,,,,,5748.457670211792,660.3664512634277,0.00033354759216308594,0.04732656478881836,5.562790632247925,0.10709381103515625,0.029070377349853516,0,89.06736891412758,57003.11610504165,,,,,,,,,,
2026-05-08T00:07:33,0,1,1,1,7,37408,7,True,3.743315508021391e-08,,,,,,5732.111930847168,660.3664512634277,0.0003325939178466797,0.04938197135925293,5.549495697021484,0.10318279266357422,0.02790689468383789,0,89.32135418443056,57165.66667803556,,,,,,,,,,
2026-05-08T00:07:39,0,1,1,1,8,37408,8,True,4.2780748663101606e-08,,,,,,5736.324787139893,660.3664512634277,0.0002982616424560547,0.04737138748168945,5.559123992919922,0.10191082954406738,0.026160240173339844,0,89.25575503462402,57123.68322215937,,,,,,,,,,
2026-05-08T00:07:45,0,1,1,1,9,37408,9,True,4.812834224598931e-08,,,,,,5746.250152587891,660.3664512634277,0.0003159046173095703,0.04634261131286621,5.565054416656494,0.10658574104309082,0.026470661163330078,0,89.10158562613478,57025.01480072626,,,,,,,,,,
2026-05-08T00:07:50,0,1,1,1,10,37408,10,True,5.3475935828877005e-08,,,,,,5740.834474563599,660.3664512634277,0.0002930164337158203,0.04704165458679199,5.5587639808654785,0.1076662540435791,0.025374889373779297,0,89.18564056646498,57078.80996253759,,,,,,,,,,
2026-05-08T00:08:00,0,1,1,1,11,37408,11,True,5.882352941176471e-08,456.34613037109375,195.34869384765625,0.6926029324531555,258.5504455566406,1.7544004917144775,5736.162900924683,660.3664512634277,0.0002987384796142578,0.046375274658203125,5.560128688812256,0.10245275497436523,0.02541494369506836,0,89.25827401405641,57125.2953689961,,442.8279622395833,404.0218505859375,478.6299743652344,5739.166666666667,5749.01220703125,695.9603881835938,0.0,2141.08154296875,1370292.125
2026-05-08T00:08:02,0,1,1,1,12,37408,12,True,6.417112299465241e-08,,,,,,5896.0771560668945,660.3664512634277,0.0002720355987548828,0.04903912544250488,1.7336139678955078,0.10201787948608398,0.025626420974731445,0,86.83739823064674,55575.93486761391,,,,,,,,,,
2026-05-08T00:08:08,0,1,1,1,13,37408,13,True,6.951871657754012e-08,,,,,,5640.090703964233,660.3664512634277,0.00029277801513671875,0.04636406898498535,5.459902763366699,0.10445332527160645,0.02758002281188965,0,90.77868191731955,58098.35642708451,,,,,,,,,,
2026-05-08T00:08:13,0,1,1,1,14,37408,14,True,7.486631016042782e-08,,,,,,5743.791103363037,660.3664512634277,0.0003159046173095703,0.04858684539794922,5.556665420532227,0.1090397834777832,0.027333498001098633,0,89.13973206654744,57049.42852259036,,,,,,,,,,
2026-05-08T00:08:19,0,1,1,1,15,37408,15,True,8.021390374331552e-08,,,,,,5850.048303604126,660.3664512634277,0.0003147125244140625,0.04810452461242676,5.672200918197632,0.10211992263793945,0.02569127082824707,0,87.52064486109705,56013.21271110212,,,,,,,,,,
2026-05-08T00:08:25,0,1,1,1,16,37408,16,True,8.556149732620321e-08,,,,,,5743.21174621582,660.3664512634277,0.0003025531768798828,0.04688882827758789,5.562471389770508,0.10665607452392578,0.025393247604370117,0,89.14872420250826,57055.18348960528,,,,,,,,,,
2026-05-08T00:08:31,0,1,1,1,17,37408,17,True,9.090909090909091e-08,,,,,,5744.584560394287,660.3664512634277,0.00031280517578125,0.04655194282531738,5.561230182647705,0.10893988609313965,0.026025772094726562,0,89.12741985381415,57041.548706441055,,,,,,,,,,
2026-05-08T00:08:37,0,1,1,1,18,37408,18,True,9.625668449197862e-08,,,,,,5735.517978668213,660.3664512634277,0.00030875205993652344,0.046828508377075195,5.554184913635254,0.10577917098999023,0.02678394317626953,0,89.26831053520408,57131.718742530604,,,,,,,,,,
2026-05-08T00:08:42,0,1,1,1,19,37408,19,True,1.0160427807486632e-07,,,,,,5744.499206542969,660.3664512634277,0.00032210350036621094,0.046106815338134766,5.5589799880981445,0.11167383193969727,0.025879621505737305,0,89.12874414132278,57042.39625044658,,,,,,,,,,
2026-05-08T00:08:48,0,1,1,1,20,37408,20,True,1.0695187165775401e-07,,,,,,5737.407922744751,660.3664512634277,0.00029754638671875,0.046895503997802734,5.555832147598267,0.1049506664276123,0.027916908264160156,0,89.23890490168624,57112.89913707919,,,,,,,,,,
2026-05-08T00:08:58,0,1,1,1,21,37408,21,True,1.1229946524064171e-07,425.08056640625,181.14193725585938,0.6929811239242554,241.53330993652344,1.7123386859893799,5736.819505691528,660.3664512634277,0.0003345012664794922,0.04799985885620117,5.556180000305176,0.10383105278015137,0.026624679565429688,0,89.24805800357535,57118.757122288225,,444.3543294270833,388.3838806152344,487.0422668457031,5741.162760416667,5777.84716796875,695.9603881835938,0.0,2140.338623046875,1369816.75
