time,node_rank,rank,local_rank,epoch,batch_index,num_batches,update_step,should_step,lr,loss_total,loss_gep,loss_zero_prob,loss_gepc,loss_gepc_zero_prob,step_ms,data_load_s,to_device_s,forward_s,loss_s,backward_s,optimizer_s,grad_sync_s,samples_per_s,tokens_per_s,mfu,cluster_loss_total_mean,cluster_loss_total_min,cluster_loss_total_max,cluster_step_ms_mean,cluster_step_ms_max,cluster_data_load_s_max,cluster_grad_sync_s_max,cluster_samples_per_s_sum,cluster_tokens_per_s_sum
2026-05-14T01:33:27,0,0,0,1,1,37408,1,True,2.6737967914438504e-10,469.2498474121094,186.33828735351562,0.6895345449447632,280.4225769042969,1.7994694709777832,818999.7072219849,673.7386546134949,0.0023343563079833984,0.5820977687835693,0.610572099685669,0.3269684314727783,1.0892255306243896,0,0.625152848633712,400.0978231255757,,478.3846028645833,429.394287109375,507.4287414550781,821680.5,832440.9375,787.0913696289062,0.0,14.95522689819336,9571.3466796875
2026-05-14T01:33:28,0,0,0,1,2,37408,2,True,5.347593582887701e-10,,,,,,15313.997983932495,673.7386546134949,0.0002982616424560547,0.05925178527832031,0.6928219795227051,0.10262680053710938,0.026935577392578125,0,33.43346398094034,21397.416947801816,,,,,,,,,,
2026-05-14T01:33:30,0,0,0,1,3,37408,3,True,8.021390374331551e-10,,,,,,2856.9564819335938,673.7386546134949,0.0003218650817871094,0.04944777488708496,2.683434247970581,0.09488582611083984,0.02729487419128418,0,179.21169021569324,114695.48173804367,,,,,,,,,,
2026-05-14T01:33:33,0,0,0,1,4,37408,4,True,1.0695187165775401e-09,,,,,,2864.9182319641113,673.7386546134949,0.00032448768615722656,0.04334235191345215,2.69852876663208,0.09462785720825195,0.02655768394470215,0,178.7136520294286,114376.7372988343,,,,,,,,,,
2026-05-14T01:33:36,0,0,0,1,5,37408,5,True,1.336898395721925e-09,,,,,,2865.7023906707764,673.7386546134949,0.00031876564025878906,0.043776512145996094,2.69881534576416,0.09432148933410645,0.026877880096435547,0,178.66474957999944,114345.43973119964,,,,,,,,,,
2026-05-14T01:33:39,0,0,0,1,6,37408,6,True,1.6042780748663102e-09,,,,,,2865.0760650634766,673.7386546134949,0.000324249267578125,0.043581485748291016,2.698218584060669,0.09486770629882812,0.02650165557861328,0,178.7038069401681,114370.43644170758,,,,,,,,,,
2026-05-14T01:33:42,0,0,0,1,7,37408,7,True,1.871657754010695e-09,,,,,,2862.9040718078613,673.7386546134949,0.0003199577331542969,0.0439448356628418,2.6936888694763184,0.09374856948852539,0.026713848114013672,0,178.83938377183668,114457.20561397547,,,,,,,,,,
2026-05-14T01:33:45,0,0,0,1,8,37408,8,True,2.1390374331550803e-09,,,,,,2893.083095550537,673.7386546134949,0.00033020973205566406,0.043076276779174805,2.700978994369507,0.1139833927154541,0.033215999603271484,0,176.9738314075522,113263.25210083342,,,,,,,,,,
2026-05-14T01:33:48,0,0,0,1,9,37408,9,True,2.406417112299465e-09,,,,,,2862.9226684570312,673.7386546134949,0.000335693359375,0.04301762580871582,2.672907590866089,0.11763119697570801,0.02751755714416504,0,178.83822208720076,114456.46213580848,,,,,,,,,,
2026-05-14T01:33:51,0,0,0,1,10,37408,10,True,2.67379679144385e-09,,,,,,2858.1554889678955,673.7386546134949,0.0003287792205810547,0.04305100440979004,2.6757235527038574,0.11059713363647461,0.026752471923828125,0,179.13651023404873,114647.3665497912,,,,,,,,,,
2026-05-14T01:33:55,0,0,0,1,11,37408,11,True,2.941176470588235e-09,492.6500549316406,194.616455078125,0.6896947622299194,295.53466796875,1.8092283010482788,2865.657329559326,673.7386546134949,0.00031495094299316406,0.043157100677490234,2.682624340057373,0.11089658737182617,0.0271451473236084,0,178.66755899901477,114347.23775936945,,472.9392903645833,439.8869934082031,548.2025756835938,2867.2845052083335,2899.01611328125,787.0913696289062,0.0,4285.6328125,2742804.75
2026-05-14T01:33:56,0,0,0,1,12,37408,12,True,3.2085561497326204e-09,,,,,,2862.948417663574,673.7386546134949,0.0003173351287841797,0.04585742950439453,0.6981093883514404,0.09658384323120117,0.026042461395263672,0,178.83661362569657,114455.43272044581,,,,,,,,,,
2026-05-14T01:33:59,0,0,0,1,13,37408,13,True,3.4759358288770053e-09,,,,,,2867.1247959136963,673.7386546134949,0.0003032684326171875,0.04369759559631348,2.698951482772827,0.09559059143066406,0.027047157287597656,0,178.5761124628116,114288.71197619943,,,,,,,,,,
2026-05-14T01:34:02,0,0,0,1,14,37408,14,True,3.74331550802139e-09,,,,,,2874.164819717407,673.7386546134949,0.0003204345703125,0.04361701011657715,2.696542978286743,0.10243821144104004,0.02960801124572754,0,178.13870536844883,114008.77143580724,,,,,,,,,,
2026-05-14T01:34:05,0,0,0,1,15,37408,15,True,4.010695187165775e-09,,,,,,2859.3199253082275,673.7386546134949,0.0003509521484375,0.04467415809631348,2.685551881790161,0.09786629676818848,0.028641700744628906,0,179.06355824971482,114600.67727981748,,,,,,,,,,
2026-05-14T01:34:08,0,0,0,1,16,37408,16,True,4.2780748663101606e-09,,,,,,2862.4520301818848,673.7386546134949,0.001020669937133789,0.04301047325134277,2.692795753479004,0.09665203094482422,0.02760910987854004,0,178.86762628733615,114475.28082389513,,,,,,,,,,
2026-05-14T01:34:11,0,0,0,1,17,37408,17,True,4.545454545454545e-09,,,,,,2868.556022644043,673.7386546134949,0.00036787986755371094,0.04324626922607422,2.695801258087158,0.10009098052978516,0.027397871017456055,0,178.48701435786242,114231.68918903194,,,,,,,,,,
2026-05-14T01:34:13,0,0,0,1,18,37408,18,True,4.81283422459893e-09,,,,,,2877.934217453003,673.7386546134949,0.00033020973205566406,0.04241061210632324,2.700002908706665,0.10634422302246094,0.027115821838378906,0,177.90538675103022,113859.44752065935,,,,,,,,,,
2026-05-14T01:34:16,0,0,0,1,19,37408,19,True,5.080213903743315e-09,,,,,,2862.2546195983887,673.7386546134949,0.0010895729064941406,0.0434260368347168,2.693270683288574,0.09524011611938477,0.027917146682739258,0,178.8799628426629,114483.17621930425,,,,,,,,,,
2026-05-14T01:34:19,0,0,0,1,20,37408,20,True,5.3475935828877e-09,,,,,,2928.8008213043213,673.7386546134949,0.00030994415283203125,0.043065547943115234,2.7617902755737305,0.09449553489685059,0.027523517608642578,0,174.81557512401417,111881.96807936908,,,,,,,,,,
2026-05-14T01:34:24,0,0,0,1,21,37408,21,True,5.6149732620320855e-09,489.4952392578125,196.35926818847656,0.6897070407867432,290.61749267578125,1.8287702798843384,2865.8692836761475,673.7386546134949,0.0003414154052734375,0.0422818660736084,2.6989614963531494,0.09534335136413574,0.027365446090698242,0,178.6543450939396,114338.78086012136,,476.839111328125,450.11090087890625,512.8115844726562,2866.0940755208335,2883.388427734375,787.0913696289062,0.0,4287.3818359375,2743924.5
