time,node_rank,rank,local_rank,epoch,batch_index,num_batches,update_step,should_step,lr,loss_total,loss_gep,loss_zero_prob,loss_gepc,loss_gepc_zero_prob,step_ms,data_load_s,to_device_s,forward_s,loss_s,backward_s,optimizer_s,grad_sync_s,samples_per_s,tokens_per_s,mfu,cluster_loss_total_mean,cluster_loss_total_min,cluster_loss_total_max,cluster_step_ms_mean,cluster_step_ms_max,cluster_data_load_s_max,cluster_grad_sync_s_max,cluster_samples_per_s_sum,cluster_tokens_per_s_sum
2026-05-13T10:42:32,0,4,4,1,1,18144,1,True,5.515719801434087e-10,411.18194580078125,196.00570678710938,0.687035322189331,212.05967712402344,2.429492712020874,407763.66353034973,332.26990818977356,0.0024437904357910156,0.4436945915222168,0.6041543483734131,0.24379348754882812,1.0307097434997559,0,1.255629291651908,803.6027466572211,,453.1854248046875,406.9809875488281,507.1327819824219,405029.0,408860.03125,388.64306640625,0.0,30.339542388916016,19417.30859375
2026-05-13T10:42:33,0,4,4,1,2,18144,2,True,1.1031439602868175e-09,,,,,,2885.969400405884,332.26990818977356,0.00034499168395996094,0.06344866752624512,0.6968393325805664,0.11366033554077148,0.029424667358398438,0,177.41005844621642,113542.43740557852,,,,,,,,,,
2026-05-13T10:42:36,0,4,4,1,3,18144,3,True,1.6547159404302261e-09,,,,,,2847.378730773926,332.26990818977356,0.00036597251892089844,0.0514376163482666,2.662950038909912,0.10225176811218262,0.0286104679107666,0,179.81450604600005,115081.28386944003,,,,,,,,,,
2026-05-13T10:42:38,0,4,4,1,4,18144,4,True,2.206287920573635e-09,,,,,,2868.34979057312,332.26990818977356,0.0003476142883300781,0.047537803649902344,2.6841678619384766,0.10113883018493652,0.03343939781188965,0,178.49984743237962,114239.90235672296,,,,,,,,,,
2026-05-13T10:42:41,0,4,4,1,5,18144,5,True,2.7578599007170434e-09,,,,,,2860.062599182129,332.26990818977356,0.0003490447998046875,0.0467991828918457,2.682246446609497,0.10092496871948242,0.02801680564880371,0,179.01706072671726,114570.91886509905,,,,,,,,,,
2026-05-13T10:42:44,0,4,4,1,6,18144,6,True,3.3094318808604522e-09,,,,,,2863.694906234741,332.26990818977356,0.0003204345703125,0.047445058822631836,2.6871654987335205,0.09941339492797852,0.027719497680664062,0,178.78999570983999,114425.5972542976,,,,,,,,,,
2026-05-13T10:42:47,0,4,4,1,7,18144,7,True,3.861003861003861e-09,,,,,,2864.60018157959,332.26990818977356,0.0003502368927001953,0.04712343215942383,2.6882271766662598,0.09948134422302246,0.027757644653320312,0,178.73349422105895,114389.43630147772,,,,,,,,,,
2026-05-13T10:42:50,0,4,4,1,8,18144,8,True,4.41257584114727e-09,,,,,,2865.813732147217,332.26990818977356,0.00037384033203125,0.04754137992858887,2.6880879402160645,0.10046124458312988,0.027668476104736328,0,178.65780816689121,114340.99722681037,,,,,,,,,,
2026-05-13T10:42:53,0,4,4,1,9,18144,9,True,4.964147821290678e-09,,,,,,2871.187448501587,332.26990818977356,0.0003693103790283203,0.04753446578979492,2.691549777984619,0.10196757316589355,0.02808856964111328,0,178.3234320932972,114126.9965397102,,,,,,,,,,
2026-05-13T10:42:56,0,4,4,1,10,18144,10,True,5.515719801434087e-09,,,,,,2869.0905570983887,332.26990818977356,0.0003764629364013672,0.04692530632019043,2.688992977142334,0.10220718383789062,0.028383970260620117,0,178.45376080349428,114210.40691423634,,,,,,,,,,
2026-05-13T10:43:00,0,4,4,1,11,18144,11,True,6.067291781577496e-09,466.3154602050781,225.35125732421875,0.6868948340415955,237.81704711914062,2.4602606296539307,2884.7317695617676,332.26990818977356,0.0003437995910644531,0.05022716522216797,2.687659502029419,0.10330462455749512,0.0400240421295166,0,177.48617233753424,113591.15029602192,,462.4940999348958,417.9017028808594,513.9246215820312,2867.6595052083335,2884.731689453125,388.64306640625,0.0,4285.0390625,2742425.0
2026-05-13T10:43:01,0,4,4,1,12,18144,12,True,6.6188637617209044e-09,,,,,,2878.338575363159,332.26990818977356,0.0006759166717529297,0.06055808067321777,0.686112642288208,0.10953164100646973,0.03570389747619629,0,177.88039405176687,113843.4521931308,,,,,,,,,,
2026-05-13T10:43:04,0,4,4,1,13,18144,13,True,7.170435741864313e-09,,,,,,2846.1596965789795,332.26990818977356,0.0003695487976074219,0.04643392562866211,2.664569854736328,0.10239028930664062,0.030463457107543945,0,179.89152211501434,115130.57415360918,,,,,,,,,,
2026-05-13T10:43:07,0,4,4,1,14,18144,14,True,7.722007722007721e-09,,,,,,2862.098217010498,332.26990818977356,0.00031065940856933594,0.04424929618835449,2.684396266937256,0.10228633880615234,0.029091835021972656,0,178.8897379401575,114489.43228170079,,,,,,,,,,
2026-05-13T10:43:10,0,4,4,1,15,18144,15,True,8.27357970215113e-09,,,,,,2866.1205768585205,332.26990818977356,0.00037741661071777344,0.0441288948059082,2.687852621078491,0.10289502143859863,0.029031991958618164,0,178.6386811964449,114328.75596572473,,,,,,,,,,
2026-05-13T10:43:13,0,4,4,1,16,18144,16,True,8.82515168229454e-09,,,,,,2863.9156818389893,332.26990818977356,0.0003268718719482422,0.043914079666137695,2.6872289180755615,0.1020669937133789,0.0286257266998291,0,178.77621301728843,114416.7763310646,,,,,,,,,,
2026-05-13T10:43:16,0,4,4,1,17,18144,17,True,9.376723662437948e-09,,,,,,2877.2811889648438,332.26990818977356,0.000370025634765625,0.04323768615722656,2.696758270263672,0.10599040985107422,0.029048681259155273,0,177.94576420395035,113885.28909052823,,,,,,,,,,
2026-05-13T10:43:19,0,4,4,1,18,18144,18,True,9.928295642581357e-09,,,,,,2861.327648162842,332.26990818977356,0.0003070831298828125,0.044564247131347656,2.6827898025512695,0.1024620532989502,0.029107332229614258,0,178.9379137788492,114520.2648184635,,,,,,,,,,
2026-05-13T10:43:21,0,4,4,1,19,18144,19,True,1.0479867622724765e-08,,,,,,2867.511034011841,332.26990818977356,0.00032806396484375,0.044449567794799805,2.690303087234497,0.10193872451782227,0.028796911239624023,0,178.552059234338,114273.31790997632,,,,,,,,,,
2026-05-13T10:43:24,0,4,4,1,20,18144,20,True,1.1031439602868173e-08,,,,,,2872.2736835479736,332.26990818977356,0.00031685829162597656,0.0436558723449707,2.689556837081909,0.10995721817016602,0.027141332626342773,0,178.2559938256136,114083.8360483927,,,,,,,,,,
2026-05-13T10:43:29,0,4,4,1,21,18144,21,True,1.1583011583011582e-08,499.8215637207031,240.85565185546875,0.6872581243515015,255.85092163085938,2.4277279376983643,2873.1701374053955,332.26990818977356,0.00030493736267089844,0.044974327087402344,2.686199188232422,0.10469698905944824,0.035257577896118164,0,178.20037641848788,114048.24090783224,,453.0489095052083,405.5266418457031,506.0019836425781,2867.5084635416665,2873.170166015625,388.64306640625,0.0,4285.26806640625,2742571.75
2026-05-13T10:43:30,0,4,4,1,22,18144,22,True,1.2134583563154992e-08,,,,,,2857.532262802124,332.26990818977356,0.0003879070281982422,0.05485963821411133,0.6905350685119629,0.09744596481323242,0.027689456939697266,0,179.1755798053275,114672.3710754096,,,,,,,,,,
2026-05-13T10:43:33,0,4,4,1,23,18144,23,True,1.26861555432984e-08,,,,,,2865.4634952545166,332.26990818977356,0.00036263465881347656,0.04629206657409668,2.6911299228668213,0.09822869300842285,0.027611494064331055,0,178.67964496770637,114354.97277933208,,,,,,,,,,
2026-05-13T10:43:36,0,4,4,1,24,18144,24,True,1.3237727523441809e-08,,,,,,2861.8996143341064,332.26990818977356,0.00032973289489746094,0.04462313652038574,2.691984176635742,0.0961151123046875,0.02713918685913086,0,178.90215206557124,114497.3773219656,,,,,,,,,,
2026-05-13T10:43:39,0,4,4,1,25,18144,25,True,1.3789299503585217e-08,,,,,,2864.8858070373535,332.26990818977356,0.00031638145446777344,0.04485511779785156,2.6969618797302246,0.0951688289642334,0.026115894317626953,0,178.7156747198491,114378.03182070341,,,,,,,,,,
2026-05-13T10:43:41,0,4,4,1,26,18144,26,True,1.4340871483728626e-08,,,,,,2862.8599643707275,332.26990818977356,0.0002951622009277344,0.043966054916381836,2.696702718734741,0.09375715255737305,0.026285171508789062,0,178.84213910984656,114458.9690303018,,,,,,,,,,
2026-05-13T10:43:44,0,4,4,1,27,18144,27,True,1.4892443463872034e-08,,,,,,2872.6534843444824,332.26990818977356,0.00031757354736328125,0.04384160041809082,2.699233055114746,0.10130524635314941,0.026180267333984375,0,178.23242614896677,114068.75273533873,,,,,,,,,,
2026-05-13T10:43:47,0,4,4,1,28,18144,28,True,1.5444015444015443e-08,,,,,,2858.4349155426025,332.26990818977356,0.0003376007080078125,0.042824506759643555,2.692039728164673,0.09473609924316406,0.026818275451660156,0,179.118998727599,114636.15918566336,,,,,,,,,,
2026-05-13T10:43:50,0,4,4,1,29,18144,29,True,1.5995587424158853e-08,,,,,,2867.9959774017334,332.26990818977356,0.00032711029052734375,0.04340028762817383,2.7011611461639404,0.09501409530639648,0.026226282119750977,0,178.5218682432907,114253.99567570606,,,,,,,,,,
2026-05-13T10:43:53,0,4,4,1,30,18144,30,True,1.654715940430226e-08,,,,,,2866.710424423218,332.26990818977356,0.0003075599670410156,0.04287433624267578,2.700336217880249,0.09562420845031738,0.02589106559753418,0,178.60192492341267,114305.2319509841,,,,,,,,,,
2026-05-13T10:43:58,0,4,4,1,31,18144,31,True,1.709873138444567e-08,423.6932373046875,202.43563842773438,0.6873010396957397,218.1543731689453,2.4159116744995117,2864.2373085021973,332.26990818977356,0.0003294944763183594,0.043526649475097656,2.698688268661499,0.09441256523132324,0.025626659393310547,0,178.75613814546026,114403.92841309456,,447.0086263020833,412.09857177734375,482.0382995605469,2865.0279947916665,2880.572509765625,388.64306640625,0.0,4288.9794921875,2744947.0
2026-05-13T10:43:59,0,4,4,1,32,18144,32,True,1.765030336458908e-08,,,,,,2873.4569549560547,332.26990818977356,0.00028705596923828125,0.04835009574890137,0.6959958076477051,0.09454560279846191,0.026806116104125977,0,178.18258913428906,114036.85704594498,,,,,,,,,,
2026-05-13T10:44:02,0,4,4,1,33,18144,33,True,1.8201875344732486e-08,,,,,,2867.436170578003,332.26990818977356,0.0003063678741455078,0.04436826705932617,2.6982436180114746,0.09693145751953125,0.02615189552307129,0,178.5567208970492,114276.30137411148,,,,,,,,,,
2026-05-13T10:44:04,0,4,4,1,34,18144,34,True,1.8753447324875896e-08,,,,,,2867.9823875427246,332.26990818977356,0.00032782554626464844,0.04490780830383301,2.6971116065979004,0.0970919132232666,0.02669358253479004,0,178.5227141644616,114254.53706525543,,,,,,,,,,
2026-05-13T10:44:07,0,4,4,1,35,18144,35,True,1.9305019305019303e-08,,,,,,2864.0146255493164,332.26990818977356,0.00032782554626464844,0.04543924331665039,2.6937224864959717,0.09712791442871094,0.02574014663696289,0,178.77003679818802,114412.82355084034,,,,,,,,,,
2026-05-13T10:44:10,0,4,4,1,36,18144,36,True,1.9856591285162713e-08,,,,,,2868.262767791748,332.26990818977356,0.00031876564025878906,0.04326367378234863,2.697998285293579,0.09816646575927734,0.026817798614501953,0,178.50526309839617,114243.36838297355,,,,,,,,,,
